"*Beginning for the 2015-16 season, reports from public health and clinical laboratories are presented separately in the weekly influenza update, FluView.  Data presented from public health laboratories include the weekly total number of specimens tested, the number of positive influenza tests, and the number by influenza virus type, subtype, and influenza B lineage."
REGION TYPE,REGION,SEASON_DESCRIPTION,TOTAL SPECIMENS,A (2009 H1N1),A (H3),A (Subtyping not Performed),B,BVic,BYam,H3N2v,A (H5)
States,Oklahoma,Season 2017-18,1117,100,213,1,53,4,60,0,0
States,Oregon,Season 2017-18,867,136,185,1,389,0,4,0,0
States,Pennsylvania,Season 2017-18,1711,85,493,5,5,40,227,0,0
States,Rhode Island,Season 2017-18,440,13,136,0,0,1,38,0,0
States,South Carolina,Season 2017-18,876,55,203,0,15,2,60,0,0
States,South Dakota,Season 2017-18,1305,40,514,4,12,24,190,0,0
States,Tennessee,Season 2017-18,2261,2,212,61,157,0,3,0,0
States,Texas,Season 2017-18,1655,79,263,2,162,2,78,0,0
States,Utah,Season 2017-18,1333,85,620,1,15,71,249,0,0
States,Vermont,Season 2017-18,379,22,156,0,58,0,0,0,0
States,Virginia,Season 2017-18,1858,183,533,0,72,34,226,0,0
States,Washington,Season 2017-18,914,97,231,6,73,4,132,0,0
States,West Virginia,Season 2017-18,704,64,276,0,12,37,134,0,0
States,Wisconsin,Season 2017-18,4996,125,1057,9,0,12,374,0,0
States,Wyoming,Season 2017-18,743,39,142,1,16,2,107,0,0
States,American Samoa,Season 2017-18,X,X,X,X,X,X,X,X,X
States,Puerto Rico,Season 2017-18,724,33,432,0,4,9,142,0,0
States,Virgin Islands,Season 2017-18,X,X,X,X,X,X,X,X,X
States,New York City,Season 2017-18,X,X,X,X,X,X,X,X,X
